丽 麗
买 買
云 雲
亲 親
仆 僕
优 優
伤 傷
侧 側
偿 償
內 内
兴 興
准 準
减 減
几 幾
创 創
别 別
动 動
华 華
參 参
后 後
呜 嗚
响 響
唤 喚
嗫 囁
嚙 噛
园 園
圣 聖
场 場
坚 堅
墮 堕
备 備
头 頭
夸 誇
奋 奮
实 実
导 導
尘 塵
岛 島
开 開
张 張
强 強
忧 憂
惯 慣
愿 願
抚 撫
报 報
搔 掻
敌 敵
无 無
时 時
暧 曖
會 会
朠 最
构 構
标 標
树 樹
梦 夢
橫 横
步 歩
歸 帰
殘 残
每 毎
氣 気
洁 潔
润 潤
淚 涙
渗 滲
渴 渇
溃 潰
溫 温
热 熱
爱 愛
狞 獰
獨 独
现 現
电 電
痹 痺
皋 皐
确 確
离 離
种 種
积 積
絕 絶
约 約
纯 純
纳 納
纷 紛
线 線
练 練
细 細
终 終
结 結
给 給
络 絡
统 統
绪 緒
绮 綺
缀 綴
缔 締
编 編
缲 繰
胜 勝
舍 捨
苍 蒼
苏 蘇
虑 慮
觀 観
见 見
视 視
觉 覚
计 計
议 議
讯 訪
记 記
许 許
证 証
词 詞
试 試
话 話
语 語
误 誤
请 請
谁 誰
谋 謀
谛 諦
谜 謎
负 負
败 敗
贳 貰
贵 貴
赌 賭
踌 躊
辉 輝
达 達
过 過
运 運
进 進
远 遠
违 擦
连 連
迹 跡
选 選
逹 達
遗 遺
鄉 郷
铺 舗
键 鍵
长 長
门 門
闭 閉
间 間
闻 聞
阳 陽
阴 陰
隨 随
难 難
顏 顔
顷 頃
颜 顔
风 風
飞 飛
饱 飽
馱 駄
鲜 鮮
鸣 鳴
鹽 塩
黃 黄
黑 黒
